Date,Visitors,Orders,Conversion_Rate,Average_Order_Value,Revenue,COGS,Marketing_Spend,Refunds,Profit
2023-12-06,6895,313,0.045,75.33,23576.86,15991.85,666.65,10,6918.36
2023-12-07,7754,272,0.035,43.95,11954.22,6942.39,523.51,5,4488.31
2023-12-08,1343,21,0.016,68.25,1433.2,1018.81,857.32,0,-442.93
2023-12-09,9363,358,0.038,163.02,58359.89,35552.1,183.85,10,22623.94
2023-12-10,9818,314,0.032,56.92,17873.2,9470.67,138.83,14,8263.7
2023-12-11,1966,29,0.015,97.28,2821.12,2229.65,959.25,0,-367.78
2023-12-12,9506,154,0.016,44.44,6843.78,3723.89,211.6,4,2908.28
2023-12-13,9112,288,0.032,151.3,43573.28,31368.35,752.66,4,11452.27
2023-12-14,9653,112,0.012,32.72,3665.16,2877.26,350.12,4,437.78
2023-12-15,7464,122,0.016,118.93,14508.86,9170.58,517.94,5,4820.35
2023-12-16,6452,74,0.012,30.49,2256.26,1562.81,590.73,1,102.72
2023-12-17,8693,408,0.047,163.62,66757.12,38628.36,497.92,9,27630.84
2023-12-18,6913,171,0.025,83.99,14362.5,9919.7,489.31,6,3953.49
2023-12-19,5994,231,0.039,63.25,14609.83,9541.75,771.77,5,4296.31
2023-12-20,3455,82,0.024,196.12,16082.01,10612.3,359.88,2,5109.83
2023-12-21,4064,148,0.037,23.08,3416.1,1794.08,184.5,2,1437.52
2023-12-22,5826,83,0.014,66.79,5543.87,3907.38,358.07,3,1278.42
2023-12-23,5251,57,0.011,100.31,5717.91,3091.69,977.64,2,1648.58
2023-12-24,5555,124,0.022,103.69,12857.58,9107.72,386.28,2,3363.58
2023-12-25,8272,328,0.04,165.88,54408.04,34073.93,634.14,3,19699.96
2023-12-26,7549,101,0.013,100.76,10176.6,7681.99,472.96,3,2021.65
2023-12-27,6287,205,0.033,45.9,9409.01,6795.07,305.32,5,2308.63
2023-12-28,2559,83,0.032,199.56,16563.67,9585.73,966.85,1,6011.08
2023-12-29,8913,194,0.022,188.51,36570.54,25046.16,437.69,3,11086.7
2023-12-30,7905,372,0.047,126.64,47109.42,37094.34,160.08,16,9855.01
2023-12-31,9588,417,0.044,81.8,34112.17,18703.01,623.16,19,14786.0
